,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019
All items,252.55,253.181,254.095,254.943,255.167,255.402,256.087,256.294,256.593,257.229,257.824,258.444
Food,256.099,257.041,257.61,257.469,258.086,258.337,258.356,258.463,258.93,259.454,259.799,260.199
Food at home,240.834,241.746,242.36,241.467,242.103,241.876,241.5,241.244,241.521,242.034,242.296,242.399
Cereals and bakery products,274.392,276.086,276.681,276.526,277.423,276.499,276.946,276.348,277.211,277.002,277.285,276.395
Cereals and cereal products,225.864,227.111,230.357,228.252,227.744,228.699,228.509,227.176,227.193,226.875,227.024,226.612
Flour and prepared flour mixes,235.064,234.142,236.679,235.016,235.08,235.919,236.249,236.024,236.536,235.401,234.419,235.076
Breakfast cereal,219.572,221.578,224.248,224.059,222.799,223.984,224.036,220.688,220.068,220.408,218.774,221.618
"Rice, pasta, cornmeal",234.9,236.109,241.408,237.898,237.412,240.598,240.739,240.329,237.621,236.496,238.499,234.282
Rice,162.95,161.631,163.179,165.381,162.269,164.456,164.408,162.429,161.998,162.585,161.442,158.079
Bakery products,303.681,304.393,304.245,304.224,306.374,303.823,304.54,304.417,306.41,305.674,305.89,304.051
Bread,182.471,183.233,183.085,184.384,184.131,182.206,183.514,182.235,185.084,185.162,187.598,186.499
White bread,331.374,332.035,329.954,333.87,333.139,329.986,329.424,329.145,336.742,336.293,341.143,339.524
Bread other than white,355.094,356.892,359.559,359.067,359.966,355.253,360.225,355.828,358.0,359.226,362.753,361.061
"Fresh biscuits, rolls, muffins",181.215,180.795,180.847,179.93,182.032,179.445,179.079,179.541,179.674,179.869,179.452,179.492
"Cakes, cupcakes, and cookies",287.295,290.372,289.495,290.533,292.39,292.015,293.14,293.725,293.741,291.14,292.371,288.464
Cookies,270.557,273.511,268.664,269.301,272.922,270.304,272.759,273.53,274.655,273.999,273.424,268.471
Fresh cakes and cupcakes,313.592,314.562,317.889,317.785,317.815,318.944,319.192,319.745,318.247,310.384,323.576,312.827
Other bakery products,267.767,269.051,269.56,268.316,271.8,269.617,269.451,269.523,271.068,271.024,269.926,271.264
"Fresh sweetrolls, coffeecakes, doughnuts",305.611,309.316,311.198,310.535,314.211,310.221,310.067,310.597,311.474,312.167,311.954,314.018
"Crackers, bread, and cracker products",304.511,307.477,303.882,302.297,308.463,306.413,307.018,308.193,309.196,310.282,304.997,310.146
"Frozen and refrigerated bakery products, pies, tarts, turnovers",268.51,269.226,270.935,270.569,270.555,269.43,267.883,267.841,269.805,268.485,270.671,267.133
"Meats, poultry, fish, and eggs",249.004,249.459,248.986,248.73,250.499,249.149,249.477,248.108,249.136,250.469,251.099,253.757
"Meats, poultry, and fish",251.753,252.445,251.912,252.023,254.152,252.931,253.235,252.174,252.456,254.182,254.793,257.33
Meats,253.12,253.064,253.341,253.643,256.316,254.62,255.783,253.919,254.974,256.749,258.244,260.721
