,Jan 2019,Feb 2019,Mar 2019,Apr 2019,May 2019,Jun 2019,Jul 2019,Aug 2019,Sep 2019,Oct 2019,Nov 2019,Dec 2019
All items,246.034,246.754,247.724,248.69,248.838,248.936,249.65,249.795,250.048,250.774,251.297,252.03
Food,254.768,255.674,256.249,256.112,256.684,256.853,256.881,256.959,257.355,257.903,258.167,258.61
Food at home,240.113,240.96,241.572,240.786,241.332,241.09,240.751,240.505,240.694,241.298,241.469,241.674
Cereals and bakery products,275.806,277.24,277.931,277.744,278.677,277.512,278.204,277.528,278.197,278.216,278.256,277.557
"Meats, poultry, fish, and eggs",249.412,249.843,249.506,249.278,250.711,249.698,249.885,248.435,249.35,250.611,251.331,254.001
Dairy and related products,214.221,214.68,215.841,216.146,217.111,217.758,217.261,217.667,218.061,218.336,219.378,219.436
Fruits and vegetables,298.334,300.114,303.433,300.984,299.358,298.087,298.156,297.623,295.885,297.463,296.213,295.701
Nonalcoholic beverages and beverage materials,170.354,171.304,171.209,170.236,171.854,170.893,170.606,170.55,170.665,170.294,170.96,170.551
Other food at home,209.497,209.939,210.087,209.256,209.107,210.498,209.207,209.891,210.205,210.701,210.53,209.931
Food away from home,280.67,281.678,282.203,283.076,283.697,284.511,285.111,285.695,286.418,286.886,287.298,288.119
Energy,205.224,208.179,214.466,220.549,218.531,214.344,216.287,213.31,211.525,215.662,217.156,220.925
Energy commodities,217.11,223.849,235.662,247.346,244.409,237.257,240.572,235.311,231.777,238.348,240.776,248.332
Fuel oil,272.255,281.303,286.98,289.259,290.445,284.089,286.669,284.393,281.741,286.177,288.501,292.998
Motor fuel,213.988,220.704,232.595,244.421,241.415,234.277,237.597,232.307,228.775,235.356,237.787,245.34
Gasoline ,212.592,219.502,231.448,243.182,240.374,233.194,236.791,231.242,227.73,234.263,236.776,244.371
Energy services,204.624,203.158,203.127,202.785,201.751,200.899,201.3,200.91,201.138,202.585,203.04,202.44
Electricity,211.336,210.711,211.018,211.019,210.133,209.062,210.088,209.577,209.933,211.131,211.485,210.979
Utility ,177.733,173.697,172.617,171.219,169.757,169.609,168.056,168.054,167.878,170.056,170.812,169.937
All items less food and energy,251.987,252.35,252.631,253.072,253.454,254.162,254.832,255.445,255.969,256.238,256.673,257.026
Commodities less food and energy commodities,147.383,147.331,146.93,146.806,146.843,147.204,147.509,147.746,147.866,147.309,147.167,147.159
Apparel,125.127,125.708,123.49,122.618,122.743,123.709,124.078,124.661,124.254,122.346,122.784,122.983
New vehicles,148.023,147.737,148.204,148.257,148.226,148.172,148.209,148.06,147.988,147.827,147.65,147.83
Used cars and trucks,140.703,140.329,139.487,140.115,139.572,140.855,141.377,142.045,142.899,141.197,140.204,139.637
Medical care commodities,368.237,365.773,367.091,368.981,368.859,368.03,368.683,369.23,368.935,372.619,372.605,377.041
Alcoholic beverages,255.181,255.984,255.471,255.174,256.015,256.777,257.846,257.717,257.319,257.157,256.287,257.153
Tobacco and smoking products,1091.848,1097.084,1109.663,1110.344,1115.139,1117.36,1128.415,1134.558,1140.43,1142.207,1147.43,1151.352
Services less energy services,326.834,327.495,328.312,329.184,329.799,330.79,331.709,332.559,333.415,334.344,335.161,335.86
Shelter,305.763,306.776,307.804,308.88,309.69,310.713,311.551,312.139,313.15,313.622,314.374,315.066
Rent of primary residence,321.971,322.98,324.239,325.397,326.32,327.607,328.517,329.322,330.486,331.132,331.987,332.869
Owners' equivalent rent of residences,289.391,290.3,291.221,292.148,292.957,293.87,294.603,295.24,295.985,296.61,297.328,298.051
Medical care services,532.649,533.358,535.112,536.291,539.15,541.788,545.014,548.946,550.821,556.105,558.405,560.665
Physicians' services,385.061,386.015,384.637,385.05,385.387,386.024,386.793,386.767,387.739,388.385,388.883,389.258
Hospital services,335.058,333.32,334.35,332.789,334.472,334.595,336.322,339.709,339.548,343.873,344.838,345.515
Transportation services,337.052,336.954,336.998,337.35,336.734,336.978,337.483,338.365,338.976,339.127,339.066,338.61
Motor vehicle maintenance and repair,293.398,294.564,296.681,297.572,296.741,297.683,297.752,300.513,301.148,301.584,302.048,302.378
Motor vehicle insurance,577.704,577.98,577.346,577.175,575.179,576.287,577.458,577.672,578.128,577.467,576.292,576.924
Airline fares,262.354,264.087,263.706,264.218,267.835,268.4,269.516,271.649,272.451,271.645,271.73,268.952
