,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021
All items,252.251,252.404,251.242,249.0,248.88,250.446,252.186,253.304,253.935,254.012,254.457,255.452
Food,259.189,260.102,261.027,265.207,267.408,268.883,267.764,267.844,267.808,268.323,268.071,269.009
Food at home,241.919,243.039,244.238,250.644,253.535,255.071,252.287,251.856,250.652,251.02,250.411,251.232
Cereals and bakery products,276.817,278.071,278.042,286.209,285.915,286.654,285.988,285.21,285.617,286.478,285.206,286.263
"Meats, poultry, fish, and eggs",253.969,254.313,254.861,265.528,276.101,281.018,270.512,265.857,264.494,265.747,265.918,265.393
Dairy and related products,220.134,222.589,223.39,226.966,229.184,228.118,226.765,230.285,229.076,227.024,227.61,229.455
Fruits and vegetables,296.143,295.989,298.32,302.964,304.722,306.084,306.11,306.744,305.255,305.512,305.358,304.757
Nonalcoholic beverages and beverage materials,171.164,171.883,173.736,178.781,178.956,180.125,179.11,179.443,177.979,177.926,176.596,178.46
Other food at home,210.255,212.118,213.352,217.515,217.664,217.905,217.812,218.476,217.233,217.854,216.777,218.089
Food away from home,289.225,289.821,290.319,291.016,292.145,293.538,295.048,295.939,297.752,298.506,298.816,299.95
Energy,219.132,214.451,201.417,179.887,176.334,186.026,190.859,192.838,194.354,194.877,195.326,203.752
Energy commodities,244.471,235.746,211.2,168.802,162.655,182.004,191.487,195.497,195.517,195.175,194.179,210.384
Fuel oil,293.147,268.169,231.305,195.01,182.287,199.701,208.483,217.007,205.692,205.632,213.571,236.487
Motor fuel,241.548,233.045,208.697,166.253,160.186,179.511,189.025,192.993,193.176,192.788,191.641,207.729
Gasoline ,240.436,232.011,207.552,164.707,158.896,178.478,188.281,192.12,192.382,191.984,190.915,207.032
Energy services,203.397,202.915,201.847,202.128,201.237,200.821,200.796,200.645,203.894,205.401,207.468,207.787
Electricity,211.658,211.467,211.025,211.258,209.551,209.065,209.567,209.427,211.482,213.823,214.912,215.798
Utility ,171.64,170.248,167.225,167.646,169.37,169.187,167.491,167.309,174.255,173.073,178.187,176.7
All items less food and energy,257.577,258.195,258.119,257.034,256.889,257.453,259.385,260.611,261.268,261.202,261.789,261.86
Commodities less food and energy commodities,147.105,147.373,146.961,145.923,145.708,145.896,147.053,148.903,150.387,150.026,150.327,150.285
Apparel,123.419,123.904,121.672,116.132,113.604,115.53,116.527,117.364,116.18,115.156,116.765,117.748
New vehicles,148.206,148.35,147.627,147.59,147.871,147.99,149.171,149.168,149.592,150.232,150.348,150.826
Used cars and trucks,137.979,138.466,139.611,138.993,138.981,136.893,140.145,147.691,157.605,157.566,155.53,153.709
Medical care commodities,374.417,372.606,372.817,371.947,372.553,373.379,373.201,372.94,373.247,370.504,369.299,368.064
Alcoholic beverages,257.834,259.145,260.256,262.277,264.155,263.751,263.646,264.041,263.225,264.077,265.686,265.125
Tobacco and smoking products,1154.26,1161.425,1172.69,1168.437,1166.652,1178.075,1187.857,1192.148,1198.441,1194.349,1197.128,1209.031
Services less energy services,336.923,337.772,337.989,336.95,336.853,337.744,340.195,340.711,340.612,340.821,341.535,341.786
Shelter,316.138,317.124,317.482,317.541,318.279,318.637,319.34,319.752,320.01,320.503,320.809,321.243
Rent of primary residence,334.048,335.148,336.187,336.82,337.727,338.12,338.761,339.018,339.448,340.026,340.196,340.668
Owners' equivalent rent of residences,299.058,299.825,300.62,301.131,301.902,302.156,302.783,303.17,303.313,303.96,304.04,304.47
Medical care services,562.866,564.313,567.719,570.989,574.549,577.962,581.183,581.819,581.336,578.91,578.234,577.687
Physicians' services,387.749,388.835,389.837,389.827,392.185,393.966,396.655,396.857,395.824,395.85,396.316,396.302
Hospital services,348.272,347.869,349.393,351.151,351.837,353.282,353.844,353.92,355.708,353.442,354.67,355.718
Transportation services,338.733,340.364,336.181,321.774,309.739,316.694,329.076,329.134,325.684,324.609,329.73,329.255
Motor vehicle maintenance and repair,302.769,305.108,307.376,307.668,308.819,308.946,308.69,310.941,311.521,311.803,313.394,313.097
Motor vehicle insurance,575.573,578.508,582.537,540.252,491.46,518.426,567.782,570.258,549.301,536.208,541.794,548.136
Airline fares,268.11,268.332,232.709,198.374,189.137,194.242,205.498,207.997,205.212,218.975,225.093,220.746
