,Unemployment rate for bachelor's and higher
Jan 2019,2.4
Feb 2019,2.2
Mar 2019,2.1
Apr 2019,2.1
May 2019,2.1
Jun 2019,2.1
Jul 2019,2.2
Aug 2019,2.0
Sep 2019,2.0
Oct 2019,2.1
Nov 2019,1.9
Dec 2019,2.0
Jan 2020,2.0
Feb 2020,1.9
Mar 2020,2.5
Apr 2020,8.4
May 2020,7.4
Jun 2020,6.8
Jul 2020,6.7
Aug 2020,5.2
Sep 2020,4.7
Oct 2020,4.2
Nov 2020,4.2
Dec 2020,3.8
Jan 2021,4.0
Feb 2021,3.8
Mar 2021,3.7
Apr 2021,3.5
May 2021,3.1
Jun 2021,3.4
Jul 2021,3.1
Aug 2021,2.7
Sep 2021,2.5
Oct 2021,2.4
Nov 2021,2.2
Dec 2021,2.1
