,Unemployment rate for high school graduates
Jan 2019,3.8
Feb 2019,3.8
Mar 2019,3.7
Apr 2019,3.4
May 2019,3.5
Jun 2019,3.8
Jul 2019,3.6
Aug 2019,3.5
Sep 2019,3.5
Oct 2019,3.7
Nov 2019,3.7
Dec 2019,3.7
Jan 2020,3.9
Feb 2020,3.7
Mar 2020,4.4
Apr 2020,17.6
May 2020,15.8
Jun 2020,12.2
Jul 2020,10.7
Aug 2020,9.7
Sep 2020,9.1
Oct 2020,8.2
Nov 2020,7.9
Dec 2020,7.9
Jan 2021,7.1
Feb 2021,7.1
Mar 2021,6.6
Apr 2021,6.9
May 2021,6.9
Jun 2021,6.9
Jul 2021,6.2
Aug 2021,5.9
Sep 2021,5.7
Oct 2021,5.4
Nov 2021,5.2
Dec 2021,4.6
